user,achievement,points,game_mode,timestamp,group
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RefactorAddXAssertionsAchievement,2,Leaderboard,2025-04-17 09:04:05.979055+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,AddTestsAchievement,1,Leaderboard,2025-04-17 09:04:05.992210+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RunXTestSuitesAchievement,1,Leaderboard,2025-04-17 09:04:09.168499+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RunWithCoverageAchievement,1,Leaderboard,2025-04-17 09:04:09.170740+02:00,B
d5082901-d846-4794-82af-2c7db8d50788,RefactorCodeAchievement,1,Leaderboard,2025-04-17 09:04:09.754310+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,CoverXLinesAchievement,4,Leaderboard,2025-04-17 09:04:16.068706+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,CoverXMethodsAchievement,3,Leaderboard,2025-04-17 09:04:16.095409+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,CoverXClassesAchievement,1,Leaderboard,2025-04-17 09:04:16.096366+02:00,B
70e85b5e-92d4-498a-9079-ba881f5b3b82,AddTestsAchievement,1,Leaderboard,2025-04-17 09:04:28.994915+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RunXTestSuitesAchievement,1,Leaderboard,2025-04-17 09:04:37.631062+02:00,B
afb0f9dc-6acf-48cd-a0e1-032f5df9366f,AddTestsAchievement,1,Leaderboard,2025-04-17 09:04:54.242458+02:00,B
f9ec833e-db4f-49b9-9b14-08298cbb4425,RefactorAddXAssertionsAchievement,3,Leaderboard,2025-04-17 09:05:13.452801+02:00,B
f9ec833e-db4f-49b9-9b14-08298cbb4425,AddTestsAchievement,1,Leaderboard,2025-04-17 09:05:13.461318+02:00,B
70e85b5e-92d4-498a-9079-ba881f5b3b82,RefactorAddXAssertionsAchievement,2,Leaderboard,2025-04-17 09:05:19.204957+02:00,B
11b1644a-d11f-45cb-8a40-282a209059c0,RefactorAddXAssertionsAchievement,4,Achievements,2025-04-17 09:05:22.951686+02:00,A
11b1644a-d11f-45cb-8a40-282a209059c0,AddTestsAchievement,4,Achievements,2025-04-17 09:05:22.956186+02:00,A
70e85b5e-92d4-498a-9079-ba881f5b3b82,RunXTestSuitesAchievement,1,Leaderboard,2025-04-17 09:05:23.796093+02:00,B
11b1644a-d11f-45cb-8a40-282a209059c0,RunXTestSuitesAchievement,1,Achievements,2025-04-17 09:05:26.030555+02:00,A
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RefactorAddXAssertionsAchievement,1,Leaderboard,2025-04-17 09:05:34.743068+02:00,B
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,AddTestsAchievement,1,Leaderboard,2025-04-17 09:05:34.758556+02:00,B
fb270a09-6a45-4eae-8f9a-3c808faec3ee,RefactorAddXAssertionsAchievement,6,Leaderboard,2025-04-17 09:05:37.879424+02:00,B
fb270a09-6a45-4eae-8f9a-3c808faec3ee,AddTestsAchievement,1,Leaderboard,2025-04-17 09:05:37.886798+02:00,B
0d271530-be17-4538-bf04-dde3c6069b5f,RefactorAddXAssertionsAchievement,1,Achievements,2025-04-17 09:05:41.819793+02:00,A
