id,user,achievement,points,game_mode,timestamp
1,11b1644a-d11f-45cb-8a40-282a209059c0,RefactorAddXAssertionsAchievement,1,0,2025-04-17 07:03:37.584413
2,11b1644a-d11f-45cb-8a40-282a209059c0,AddTestsAchievement,1,0,2025-04-17 07:03:37.608230
3,0d271530-be17-4538-bf04-dde3c6069b5f,AddTestsAchievement,1,0,2025-04-17 07:03:49.222756
4,11b1644a-d11f-45cb-8a40-282a209059c0,RefactorAddXAssertionsAchievement,1,0,2025-04-17 07:03:58.246131
5,11b1644a-d11f-45cb-8a40-282a209059c0,AddTestsAchievement,1,0,2025-04-17 07:03:58.276464
6,eed81e54-2343-44af-ab2f-cd062db7e11a,AddTestsAchievement,1,0,2025-04-17 07:04:05.435083
7,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RefactorAddXAssertionsAchievement,2,0,2025-04-17 07:04:05.979055
8,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,AddTestsAchievement,1,0,2025-04-17 07:04:05.992210
9,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RunXTestSuitesAchievement,1,0,2025-04-17 07:04:09.168499
10,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RunWithCoverageAchievement,1,0,2025-04-17 07:04:09.170740
11,d5082901-d846-4794-82af-2c7db8d50788,RefactorCodeAchievement,1,0,2025-04-17 07:04:09.754310
12,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,CoverXLinesAchievement,4,0,2025-04-17 07:04:16.068706
13,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,CoverXMethodsAchievement,3,0,2025-04-17 07:04:16.095409
14,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,CoverXClassesAchievement,1,0,2025-04-17 07:04:16.096366
15,0d271530-be17-4538-bf04-dde3c6069b5f,RefactorAddXAssertionsAchievement,1,0,2025-04-17 07:04:23.252405
16,0d271530-be17-4538-bf04-dde3c6069b5f,TriggerXAssertsByTestsAchievement,1,0,2025-04-17 07:04:24.187293
17,0d271530-be17-4538-bf04-dde3c6069b5f,RunXTestSuitesAchievement,1,0,2025-04-17 07:04:24.542848
18,70e85b5e-92d4-498a-9079-ba881f5b3b82,AddTestsAchievement,1,0,2025-04-17 07:04:28.994915
19,0d271530-be17-4538-bf04-dde3c6069b5f,RefactorXTestNamesAchievement,1,0,2025-04-17 07:04:35.262486
20,0d271530-be17-4538-bf04-dde3c6069b5f,TriggerXAssertsByTestsAchievement,1,0,2025-04-17 07:04:36.066628
21,0d271530-be17-4538-bf04-dde3c6069b5f,RunXTestSuitesAchievement,1,0,2025-04-17 07:04:36.433767
22,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,RunXTestSuitesAchievement,1,0,2025-04-17 07:04:37.631062
23,0d271530-be17-4538-bf04-dde3c6069b5f,TriggerXAssertsByTestsAchievement,1,0,2025-04-17 07:04:46.782039
24,0d271530-be17-4538-bf04-dde3c6069b5f,RunXTestSuitesAchievement,1,0,2025-04-17 07:04:47.162796
